0,1,2,table_number,source
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,1,Google Data Centers PUE page
"Berkeley County, South Carolina",1.07,1.1,1,Google Data Centers PUE page
"Bristow, Virginia",1.07,,1,Google Data Centers PUE page
"Central Ohio (Columbus), Ohio",1.05,1.05,1,Google Data Centers PUE page
"Central Ohio (Lancaster), Ohio",1.04,1.04,1,Google Data Centers PUE page
"Central Ohio (New Albany), Ohio",1.05,1.06,1,Google Data Centers PUE page
"Changua County, Taiwan",1.1,1.12,1,Google Data Centers PUE page
"Council Bluffs, Iowa",1.1,1.11,1,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.07,1.07,1,Google Data Centers PUE page
"Douglas County, Georgia",1.08,1.09,1,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.08,1,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.08,1,Google Data Centers PUE page
"Fredericia, Denmark",1.07,1.07,1,Google Data Centers PUE page
"Hamina, Finland",1.09,1.1,1,Google Data Centers PUE page
"Henderson, Nevada",1.07,1.09,1,Google Data Centers PUE page
"Inzai, Japan",1.12,,1,Google Data Centers PUE page
"Jackson County, Alabama",1.09,1.1,1,Google Data Centers PUE page
"Lenoir, North Carolina",1.08,1.13,1,Google Data Centers PUE page
"Loudoun County, Virginia",1.07,1.09,1,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.07,1.08,1,Google Data Centers PUE page
"Mayes County, Oklahoma",1.09,1.11,1,Google Data Centers PUE page
"Midlothian, Texas",1.08,1.1,1,Google Data Centers PUE page
"Montgomery County, Tennessee",1.08,1.1,1,Google Data Centers PUE page
"Omaha, Nebraska",1.06,,1,Google Data Centers PUE page
"Papillion, Nebraska",1.08,1.09,1,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.09,1,Google Data Centers PUE page
Singapore,1.12,1.13,1,Google Data Centers PUE page
Singapore (2nd facility),1.14,1.15,1,Google Data Centers PUE page
"St. Ghislain, Belgium",1.07,1.08,1,Google Data Centers PUE page
"Storey County, Nevada",1.09,1.14,1,Google Data Centers PUE page
"The Dalles, Oregon",1.1,1.1,1,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.06,1.07,1,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,2,Google Data Centers PUE page
Fleet,1.10,1.09,2,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,2,Google Data Centers PUE page
"Berkeley County, South Carolina",1.11,1.10,2,Google Data Centers PUE page
"Bristow, Virginia",1.08,1.07,2,Google Data Centers PUE page
"Central Ohio (Columbus), Ohio",1.05,1.05,2,Google Data Centers PUE page
"Central Ohio (Lancaster), Ohio",1.04,1.04,2,Google Data Centers PUE page
"Central Ohio (New Albany), Ohio",1.07,1.06,2,Google Data Centers PUE page
"Changua County, Taiwan",1.14,1.13,2,Google Data Centers PUE page
"Council Bluffs, Iowa",1.11,1.11,2,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.08,1.07,2,Google Data Centers PUE page
"Douglas County, Georgia",1.10,1.09,2,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.08,2,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.07,2,Google Data Centers PUE page
"Fredericia, Denmark",1.06,1.07,2,Google Data Centers PUE page
"Hamina, Finland",1.09,1.10,2,Google Data Centers PUE page
"Henderson, Nevada",1.09,1.09,2,Google Data Centers PUE page
"Inzai, Japan",1.14,,2,Google Data Centers PUE page
"Jackson County, Alabama",1.11,1.10,2,Google Data Centers PUE page
"Lenoir, North Carolina",1.10,1.13,2,Google Data Centers PUE page
"Loudoun County, Virginia",1.08,1.08,2,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.08,1.08,2,Google Data Centers PUE page
"Mayes County, Oklahoma",1.16,1.12,2,Google Data Centers PUE page
"Midlothian, Texas",1.11,1.10,2,Google Data Centers PUE page
"Montgomery County, Tennessee",1.11,1.10,2,Google Data Centers PUE page
"Omaha, Nebraska",1.04,,2,Google Data Centers PUE page
"Papillion, Nebraska",1.09,1.09,2,Google Data Centers PUE page
"Quilicura, Chile",1.08,1.09,2,Google Data Centers PUE page
Singapore,1.13,1.13,2,Google Data Centers PUE page
Singapore (2nd facility),1.15,1.14,2,Google Data Centers PUE page
"St. Ghislain, Belgium",1.08,1.08,2,Google Data Centers PUE page
"Storey County, Nevada",1.16,1.14,2,Google Data Centers PUE page
"The Dalles, Oregon",1.10,1.10,2,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.06,1.06,2,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,3,Google Data Centers PUE page
Fleet,1.11,1.09,3,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,3,Google Data Centers PUE page
"Berkeley County, South Carolina",1.12,1.10,3,Google Data Centers PUE page
"Bristow, Virginia",1.12,1.09,3,Google Data Centers PUE page
"Central Ohio (Columbus), Ohio",1.07,1.06,3,Google Data Centers PUE page
"Central Ohio (Lancaster), Ohio",1.04,1.04,3,Google Data Centers PUE page
"Central Ohio (New Albany), Ohio",1.07,1.06,3,Google Data Centers PUE page
